name,date,dateSeen,numHelpful,rating,text,title
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,4.0,"Purchased this item for a friend, keep it for myself. Best purchase ever!!!!",Love this!!!!
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Thought it would be fun to have one after reading the reviews. My alarm clock went south and I was shopping for a new one. Echo is a GR8 alarm clock GR8 timer + all the other amazing things it can do. It's just fun!! I have 2 Echos and 1 Echo Dot when I say play everywhere the whole house is full of music of my choice!,Loads of Fun!
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"My review is not a review of the device as much as my opinion on which product to choose when trying to decide between this and Google home.Google home is the closest competition in this landscape and its still lacking in comparison to Alexa.All of the interesting features of Google home are non existent or slowly being released. Using these features as a selling point is disingenuous.More than that Google home constantly has trouble detecting my voice and doing any of the assistant commands. In the same environment the echo dot with budget hardware had better success rate. When it did detect it the time to action was x2 as long as Google home is much more ""chatty"".",Best of what's currently available
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Echo is awesome. I now have two echos and one dot. Works great with my home automation. Actually has pretty good sound.,Works flawlessly
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"I really enjoy my Amazon Echo. Not only does it play my music, I use it for home automation (wireless) and can make phone calls to friends that also have Alexa. One Echo was not enough so I purchased additional Echos for different rooms.",Amazon Echo for home
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Love my ECHO . Listening to my favorite station is great . It has a great sound.,LOVE ALEXA
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"I decided to get an Echo when I kept reading about everything Alexa could do. Not disappointed. She now controls our TV, Security, Front door and Shopping Lists with ease. And, she understands me, unlike Siri. Love her.",I Love Alexa
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,It was easy set up. Really love the Echo and the quality of sound.,Works wonderful
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Easy to setup through the Alexa app. My wife uses to play music for her daycare children and my 8yr old daughter uses it none stop. Fun to ask silly questions to.,Whole family loves it!
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Its a great thing to get all the information I want really quickly and easy. I love my Alexa!!!!!!!,great for all information I want
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,4.0,"The vacation house we rented for a week this summer had an Echo Dot. We didn't know what it was until it started talking to us as we must have activated it somehow. After our shock, we found that it played music, told jokes, and was in general, fun to use. So, we we arrived home, we began exploring what the Echo could do. Wow. It is amazing. We have been Amazon Prime members for many years and this is a logical extension of the Amazon ecosystem. I think most folks who use Prime will be pleasantly surprised by what it can do. However, not everyone likes it. My son-in-law says its creepy to have something listening to you in your home. So, most folks will have to get over that. For the price, it's well worth it to explore the future of technology!",A Pleasant Surprise
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,The echo works great. Every Day I find out more things to use it for.The sound is great for the size. I bought another one for the garage.,Works Great
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,4.0,"Works good, Just don't use it as much as I thought we would.",Good
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,we wanted to have echo to join our Alexa experience and also to help out with our grandchildren as they love soothing music as well as enjoy talking with Alexa. Love the design and white color of the unit.,great product and great companion to my Alexa Show
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Bought as gift and have been very satisfiedGood sound and wonderful life aid,Greatdwvice
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,4.0,"I have the Amazon Echo in my kitchen where we run around and usually holding food in our hands while prepping or rushing out. It's nice to be able to just call out a certain song or music station to quickly start hearing some music while busy. Also, if we are in a rush to leave and want to know the temperature to make sure to have proper attire. This device just makes life a little simpler and faster.",Makes life just a little simpler and faster
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"The longer i have this product the more i use it. My most useful feature is the list capabilities. I just say alexa add "" "" to my shopping list and when i got the the store i'm able to pull everything up. It makes life easier for sure. highly recommend everyone to have one.",Great Product
Amazon Fire Tv,2017-09-14 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"This is the 5th Echo I have purchased, one for myself and the other 4 were gifts. The sound is awesome, does all the research for you. My grandson actually uses is when doing his homework. It's also great to use when having parties. One of my best purchases.","Great product, great sound, great info"
Amazon Fire Tv,2017-09-14 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,WHAT DID WE DO BEFORE ALL THIS TECHNOLOGY? I LOVE THE ECHO! THE SOUND AND FEATURES ARE AMAZING!,AMAZING!
Amazon Fire Tv,2017-09-13 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Echo will read a book, play music, tell me a joke and work remotely to turn on a light at home while I'm out of the house.",Wonderful device
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Loves it. Best thing ever. Works amazing with my Hue Lights.,Great choice
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,So Good had to buy another one. This is the second echo I have idecided to put one in the master bedroom as well as the main house great decision,So Good had to buy another one
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,4.0,"My family and I have been using multiple devices to listen to music and other types of entertainment for awhile. We are trying to get more out of some of the smart devices we own, so this was a good first step to integrate various devices we already use into a voice controlled assistant.",Great first foray into home automation
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Excellent product with decent sound and form factor.,Excellent
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,3.0,"Nothing special. It is a pretty good speaker for the money, but it's not that useful for much else. My Apple TV does more for home automation and entertainment.",Not that useful but a pretty good speaker
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Very easy to setup and even more importantly easy to use.,Great for anyone to use
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Just say Alexa and what you want her to do and she does it. Yes sometimes if there is some noise or if you don't speak clearly she might get it wrong but most of the time she gets it right. My only flaw with Alexa is the music, which isn't a problem with the product it's self but when it comes to playing music other than Pandora- you do have to subscribe to unlimited music which is reasonably priced and is worth it but do wish it came with it. Other than that I love asking Alexa to play a certain song and she plays it. She is amazing I would recommend it to anyone. Also look into her cool features their so helpful, definitely her to do list and grocery list.",Really love my Alexa!!
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,4.0,Once u get her updated and on track she is ok.you download the app and away she goes,She is getting smarter
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,I now have three dots/echos and am a fan. I really enjoy the capability of echo and ease of installation.,great product
